test0,test0_from_core,test0_to_core,test0_avg_latency,test1,test1_from_core,test1_to_core,test1_avg_latency
14,0,4,18.0,14,8,9,12.2
14,0,4,51.2,14,8,10,28.8
14,0,4,41.8,14,8,11,6.7
14,0,4,13.5,14,9,10,5.0
14,0,4,15.5,14,9,11,3.8
14,0,4,28.1,14,10,11,19.6
14,0,5,12.6,14,1,2,17.7
14,0,5,9.7,14,1,3,34.2
14,0,5,4.4,14,1,4,25.6
14,0,5,6.8,14,1,6,9.4
14,0,5,6.9,14,1,7,6.4
14,0,5,6.8,14,1,8,49.7
14,0,5,8.7,14,1,9,24.2
14,0,5,5.9,14,1,10,32.8
14,0,5,16.4,14,1,11,35.3
14,0,5,7.6,14,2,3,35.3
14,0,5,7.3,14,2,4,59.1
14,0,5,3.5,14,2,6,5.9
14,0,5,13.0,14,2,7,18.8
14,0,5,10.7,14,2,8,4.0
14,0,5,15.9,14,2,9,50.8
14,0,5,7.2,14,2,10,9.4
14,0,5,27.8,14,2,11,28.5
14,0,5,9.0,14,3,4,17.3
14,0,5,7.3,14,3,6,10.8
14,0,5,6.3,14,3,7,15.9
14,0,5,6.2,14,3,8,11.8
14,0,5,3.9,14,3,9,16.2
14,0,5,5.2,14,3,10,16.6
14,0,5,6.6,14,3,11,9.1
14,0,5,3.5,14,4,6,12.5
14,0,5,3.3,14,4,7,48.3
14,0,5,6.4,14,4,8,15.5
14,0,5,10.1,14,4,9,10.0
14,0,5,10.9,14,4,10,4.8
14,0,5,22.4,14,4,11,17.7
14,0,5,10.8,14,6,7,31.4
14,0,5,11.1,14,6,8,7.5
14,0,5,8.9,14,6,9,6.1
14,0,5,4.1,14,6,10,15.5
14,0,5,18.2,14,6,11,25.9
14,0,5,8.2,14,7,8,9.8
14,0,5,7.4,14,7,9,3.9
14,0,5,25.7,14,7,10,10.2
14,0,5,30.4,14,7,11,29.2
14,0,5,12.7,14,8,9,16.4
14,0,5,3.8,14,8,10,15.9
14,0,5,31.4,14,8,11,16.2
14,0,5,3.8,14,9,10,19.5
14,0,5,9.0,14,9,11,12.9
14,0,5,20.0,14,10,11,9.9
14,0,6,4.7,14,1,2,5.1
14,0,6,7.1,14,1,3,16.6
14,0,6,3.5,14,1,4,19.8
14,0,6,3.7,14,1,5,5.9
14,0,6,4.9,14,1,7,17.7
14,0,6,3.5,14,1,8,32.1
14,0,6,10.4,14,1,9,23.1
14,0,6,3.7,14,1,10,35.3
14,0,6,4.2,14,1,11,13.0
14,0,6,3.5,14,2,3,22.7
14,0,6,4.8,14,2,4,20.2
14,0,6,4.9,14,2,5,6.7
14,0,6,6.5,14,2,7,17.7
14,0,6,4.4,14,2,8,15.9
14,0,6,7.2,14,2,9,33.5
14,0,6,3.7,14,2,10,8.9
14,0,6,4.9,14,2,11,11.9
14,0,6,17.9,14,3,4,41.0
14,0,6,3.5,14,3,5,4.4
14,0,6,7.5,14,3,7,19.1
14,0,6,10.2,14,3,8,7.5
14,0,6,7.5,14,3,9,3.4
14,0,6,7.1,14,3,10,3.6
14,0,6,3.7,14,3,11,39.8
14,0,6,3.7,14,4,5,4.1
14,0,6,7.5,14,4,7,4.4
14,0,6,4.3,14,4,8,19.5
14,0,6,5.2,14,4,9,17.0
14,0,6,6.5,14,4,10,7.1
14,0,6,3.6,14,4,11,6.7
14,0,6,4.4,14,5,7,4.7
14,0,6,3.6,14,5,8,17.7
14,0,6,3.5,14,5,9,19.1
14,0,6,9.8,14,5,10,25.6
14,0,6,7.2,14,5,11,6.0
14,0,6,4.8,14,7,8,4.0
14,0,6,7.5,14,7,9,32.4
14,0,6,9.3,14,7,10,17.0
14,0,6,5.6,14,7,11,6.7
14,0,6,4.5,14,8,9,24.9
14,0,6,4.5,14,8,10,27.8
14,0,6,4.0,14,8,11,31.1
14,0,6,7.2,14,9,10,10.4
14,0,6,6.3,14,9,11,40.0
14,0,6,4.1,14,10,11,3.6
14,0,7,4.0,14,1,2,15.9
14,0,7,16.2,14,1,3,18.4
14,0,7,4.3,14,1,4,27.8
14,0,7,24.5,14,1,5,6.0
14,0,7,21.3,14,1,6,4.0
14,0,7,5.3,14,1,8,16.6
14,0,7,6.8,14,1,9,9.2
14,0,7,3.5,14,1,10,7.7
14,0,7,15.2,14,1,11,6.8
14,0,7,19.5,14,2,3,20.9
14,0,7,23.8,14,2,4,33.5
14,0,7,17.3,14,2,5,13.7
14,0,7,4.0,14,2,6,5.1
14,0,7,16.6,14,2,8,17.0
14,0,7,6.8,14,2,9,19.1
14,0,7,16.6,14,2,10,18.4
14,0,7,6.5,14,2,11,6.7
14,0,7,18.8,14,3,4,20.2
14,0,7,20.2,14,3,5,15.5
14,0,7,17.3,14,3,6,15.1
14,0,7,20.9,14,3,8,17.7
14,0,7,6.2,14,3,9,6.8
14,0,7,22.4,14,3,10,34.2
14,0,7,20.2,14,3,11,6.4
14,0,7,26.0,14,4,5,12.8
14,0,7,14.8,14,4,6,4.7
14,0,7,14.4,14,4,8,3.8
14,0,7,18.4,14,4,9,16.6
14,0,7,22.0,14,4,10,8.2
14,0,7,26.8,14,4,11,7.0
14,0,7,14.8,14,5,6,7.1
14,0,7,17.3,14,5,8,6.1
14,0,7,15.9,14,5,9,34.6
14,0,7,15.5,14,5,10,7.8
14,0,7,16.2,14,5,11,5.9
14,0,7,17.7,14,6,8,24.5
14,0,7,19.1,14,6,9,22.4
14,0,7,6.6,14,6,10,26.7
14,0,7,3.7,14,6,11,6.6
14,0,7,23.1,14,8,9,19.5
14,0,7,21.3,14,8,10,49.0
14,0,7,3.8,14,8,11,9.3
14,0,7,6.1,14,9,10,22.0
14,0,7,42.1,14,9,11,29.7
14,0,7,3.6,14,10,11,20.4
14,0,8,18.4,14,1,2,17.0
14,0,8,17.0,14,1,3,10.0
14,0,8,14.1,14,1,4,19.8
14,0,8,20.6,14,1,5,13.1
14,0,8,18.8,14,1,6,4.0
14,0,8,3.9,14,1,7,16.2
14,0,8,18.4,14,1,9,45.6
14,0,8,16.6,14,1,10,21.3
14,0,8,18.0,14,1,11,9.2
14,0,8,24.2,14,2,3,3.6
14,0,8,23.8,14,2,4,6.7
14,0,8,21.6,14,2,5,20.1
14,0,8,18.4,14,2,6,4.8
14,0,8,5.0,14,2,7,31.7
14,0,8,18.0,14,2,9,19.8
14,0,8,11.9,14,2,10,7.0
14,0,8,10.8,14,2,11,13.5
14,0,8,14.1,14,3,4,23.1
14,0,8,21.6,14,3,5,5.2
14,0,8,17.7,14,3,6,10.2
14,0,8,7.8,14,3,7,3.3
14,0,8,22.4,14,3,9,3.5
14,0,8,7.4,14,3,10,18.4
14,0,8,20.6,14,3,11,6.1
14,0,8,6.8,14,4,5,36.0
14,0,8,19.5,14,4,6,4.5
14,0,8,18.8,14,4,7,14.8
14,0,8,6.4,14,4,9,42.5
14,0,8,11.4,14,4,10,20.6
14,0,8,49.8,14,4,11,18.4
14,0,8,14.8,14,5,6,9.4
14,0,8,6.1,14,5,7,4.7
14,0,8,4.6,14,5,9,16.6
14,0,8,19.7,14,5,10,23.1
14,0,8,6.4,14,5,11,9.4
14,0,8,18.0,14,6,7,6.9
14,0,8,4.2,14,6,9,6.0
14,0,8,20.6,14,6,10,19.1
14,0,8,14.2,14,6,11,12.4
14,0,8,20.6,14,7,9,56.9
14,0,8,10.8,14,7,10,23.1
14,0,8,20.9,14,7,11,3.6
14,0,8,6.5,14,9,10,11.6
14,0,8,24.9,14,9,11,6.8
14,0,8,16.4,14,10,11,3.7
14,0,9,21.3,14,1,2,19.8
14,0,9,24.5,14,1,3,33.2
14,0,9,23.4,14,1,4,11.5
14,0,9,15.2,14,1,5,23.4
14,0,9,20.2,14,1,6,8.6
14,0,9,11.9,14,1,7,24.9
14,0,9,20.2,14,1,8,7.1
14,0,9,16.2,14,1,10,4.9
14,0,9,9.3,14,1,11,6.1
14,0,9,32.1,14,2,3,39.3
14,0,9,21.3,14,2,4,3.8
14,0,9,48.3,14,2,5,10.5
14,0,9,24.9,14,2,6,7.9
14,0,9,18.4,14,2,7,7.0
14,0,9,16.6,14,2,8,14.4
14,0,9,17.0,14,2,10,20.6
14,0,9,9.6,14,2,11,5.8
14,0,9,9.1,14,3,4,3.8
14,0,9,29.6,14,3,5,9.1
14,0,9,14.1,14,3,6,18.8
14,0,9,7.2,14,3,7,43.2
14,0,9,8.2,14,3,8,11.9
14,0,9,11.6,14,3,10,18.4
14,0,9,13.0,14,3,11,3.4
14,0,9,6.7,14,4,5,7.8
14,0,9,16.9,14,4,6,10.5
14,0,9,7.1,14,4,7,18.0
14,0,9,3.7,14,4,8,22.4
14,0,9,15.5,14,4,10,22.0
14,0,9,4.3,14,4,11,11.2
14,0,9,18.0,14,5,6,21.1
14,0,9,15.9,14,5,7,17.0
14,0,9,16.2,14,5,8,15.9
14,0,9,14.4,14,5,10,6.5
14,0,9,3.6,14,5,11,4.7
14,0,9,4.2,14,6,7,18.8
14,0,9,25.6,14,6,8,21.3
14,0,9,23.8,14,6,10,18.0
14,0,9,20.6,14,6,11,6.5
14,0,9,7.7,14,7,8,3.8
14,0,9,10.7,14,7,10,3.4
14,0,9,3.9,14,7,11,6.9
14,0,9,21.3,14,8,10,18.8
14,0,9,17.7,14,8,11,6.1
14,0,9,3.4,14,10,11,9.0
14,0,10,6.5,14,1,2,17.7
14,0,10,22.0,14,1,3,4.2
14,0,10,32.8,14,1,4,31.4
14,0,10,20.6,14,1,5,4.7
14,0,10,19.8,14,1,6,8.3
14,0,10,12.8,14,1,7,15.4
14,0,10,6.5,14,1,8,8.1
14,0,10,11.4,14,1,9,5.9
14,0,10,19.8,14,1,11,3.5
14,0,10,3.6,14,2,3,24.5
14,0,10,24.1,14,2,4,25.6
14,0,10,14.8,14,2,5,7.0
14,0,10,19.1,14,2,6,6.2
14,0,10,3.9,14,2,7,18.0
14,0,10,3.8,14,2,8,15.5
14,0,10,17.3,14,2,9,9.7
14,0,10,23.1,14,2,11,18.6
14,0,10,29.6,14,3,4,26.7
14,0,10,18.4,14,3,5,8.3
14,0,10,18.8,14,3,6,25.2
14,0,10,10.2,14,3,7,47.8
14,0,10,4.2,14,3,8,24.9
14,0,10,19.8,14,3,9,3.6
14,0,10,19.8,14,3,11,11.3
14,0,10,32.1,14,4,5,9.5
14,0,10,26.7,14,4,6,13.0
14,0,10,19.1,14,4,7,17.0
14,0,10,12.8,14,4,8,21.3
14,0,10,12.5,14,4,9,18.4
14,0,10,31.7,14,4,11,8.3
14,0,10,18.8,14,5,6,27.2
14,0,10,3.4,14,5,7,16.6
14,0,10,19.1,14,5,8,20.6
14,0,10,6.0,14,5,9,20.2
14,0,10,3.8,14,5,11,8.6
14,0,10,30.6,14,6,7,18.4
14,0,10,9.3,14,6,8,17.0
14,0,10,3.4,14,6,9,19.8
14,0,10,15.9,14,6,11,10.8
14,0,10,6.7,14,7,8,29.2
14,0,10,22.0,14,7,9,25.6
14,0,10,17.7,14,7,11,8.7
14,0,10,18.8,14,8,9,17.7
14,0,10,4.3,14,8,11,7.9
14,0,10,19.5,14,9,11,13.4
14,0,11,21.2,14,1,2,16.2
14,0,11,5.7,14,1,3,3.5
14,0,11,11.9,14,1,4,22.4
14,0,11,16.2,14,1,5,20.2
14,0,11,15.2,14,1,6,9.4
14,0,11,19.3,14,1,7,4.8
14,0,11,18.5,14,1,8,41.0
14,0,11,10.1,14,1,9,16.2
14,0,11,8.7,14,1,10,17.3
14,0,11,15.1,14,2,3,19.8
14,0,11,7.8,14,2,4,16.6
14,0,11,14.0,14,2,5,15.6
14,0,11,3.8,14,2,6,13.4
14,0,11,3.9,14,2,7,8.2
14,0,11,10.5,14,2,8,16.6
14,0,11,4.1,14,2,9,17.0
14,0,11,6.7,14,2,10,20.6
14,0,11,5.8,14,3,4,4.7
14,0,11,15.3,14,3,5,12.1
14,0,11,6.7,14,3,6,21.6
14,0,11,6.8,14,3,7,8.4
14,0,11,9.9,14,3,8,15.2
14,0,11,4.0,14,3,9,16.6
14,0,11,5.5,14,3,10,13.6
14,0,11,15.4,14,4,5,35.9
14,0,11,3.9,14,4,6,10.1
14,0,11,4.6,14,4,7,20.7
14,0,11,8.6,14,4,8,6.6
14,0,11,3.7,14,4,9,17.7
14,0,11,4.5,14,4,10,17.0
14,0,11,29.4,14,5,6,12.9
14,0,11,17.4,14,5,7,16.9
14,0,11,29.8,14,5,8,8.7
14,0,11,13.7,14,5,9,24.2
14,0,11,9.7,14,5,10,3.9
14,0,11,11.6,14,6,7,11.5
14,0,11,4.1,14,6,8,6.6
14,0,11,8.1,14,6,9,16.6
14,0,11,9.6,14,6,10,12.5
14,0,11,12.1,14,7,8,5.8
14,0,11,13.1,14,7,9,15.2
14,0,11,8.6,14,7,10,18.4
14,0,11,9.9,14,8,9,22.7
14,0,11,7.3,14,8,10,17.3
14,0,11,15.4,14,9,10,4.2
14,1,2,16.6,14,0,3,18.0
14,1,2,7.3,14,0,4,19.5
14,1,2,14.4,14,0,5,6.6
14,1,2,17.3,14,0,6,4.3
14,1,2,6.0,14,0,7,4.0
14,1,2,6.0,14,0,8,8.0
14,1,2,21.6,14,0,9,20.9
14,1,2,8.6,14,0,10,24.5
14,1,2,4.6,14,0,11,12.5
14,1,2,27.0,14,3,4,18.8
14,1,2,26.0,14,3,5,10.2
14,1,2,7.0,14,3,6,16.2
14,1,2,19.5,14,3,7,20.3
14,1,2,12.3,14,3,8,11.0
14,1,2,34.6,14,3,9,6.1
14,1,2,25.6,14,3,10,20.6
14,1,2,12.0,14,3,11,41.0
14,1,2,15.0,14,4,5,3.5
14,1,2,8.0,14,4,6,17.7
14,1,2,19.1,14,4,7,4.8
14,1,2,9.6,14,4,8,14.1
14,1,2,12.5,14,4,9,19.5
14,1,2,18.4,14,4,10,7.1
14,1,2,20.9,14,4,11,31.4
14,1,2,3.7,14,5,6,5.4
14,1,2,19.5,14,5,7,5.0
14,1,2,18.3,14,5,8,6.9
14,1,2,17.3,14,5,9,6.0
14,1,2,3.7,14,5,10,27.8
14,1,2,20.6,14,5,11,15.4
14,1,2,14.4,14,6,7,6.0
14,1,2,15.5,14,6,8,20.6
14,1,2,17.7,14,6,9,45.4
14,1,2,19.1,14,6,10,17.7
14,1,2,20.6,14,6,11,43.5
14,1,2,15.2,14,7,8,18.4
14,1,2,8.5,14,7,9,22.0
14,1,2,7.6,14,7,10,22.4
14,1,2,9.0,14,7,11,5.2
14,1,2,7.5,14,8,9,23.4
14,1,2,9.2,14,8,10,22.4
14,1,2,4.8,14,8,11,7.3
14,1,2,3.5,14,9,10,28.1
14,1,2,12.3,14,9,11,14.2
14,1,2,28.5,14,10,11,22.2
14,1,3,32.4,14,0,2,3.5
14,1,3,28.8,14,0,4,49.7
14,1,3,29.2,14,0,5,3.5
14,1,3,22.0,14,0,6,4.3
14,1,3,29.9,14,0,7,13.7
14,1,3,22.4,14,0,8,20.2
14,1,3,39.6,14,0,9,39.3
14,1,3,22.7,14,0,10,9.8
14,1,3,16.1,14,0,11,4.9
14,1,3,7.1,14,2,4,5.4
14,1,3,23.1,14,2,5,10.3
14,1,3,25.6,14,2,6,14.4
14,1,3,22.6,14,2,7,24.2
14,1,3,3.3,14,2,8,4.3
14,1,3,30.6,14,2,9,28.8
14,1,3,3.7,14,2,10,22.4
14,1,3,5.2,14,2,11,3.8
14,1,3,7.2,14,4,5,7.1
14,1,3,27.8,14,4,6,22.0
14,1,3,21.6,14,4,7,19.8
14,1,3,26.3,14,4,8,18.8
14,1,3,23.4,14,4,9,33.2
14,1,3,40.0,14,4,10,21.6
14,1,3,14.1,14,4,11,7.4
14,1,3,18.4,14,5,6,23.1
14,1,3,41.8,14,5,7,21.1
14,1,3,17.7,14,5,8,19.1
14,1,3,36.4,14,5,9,32.8
14,1,3,14.8,14,5,10,40.7
14,1,3,19.5,14,5,11,3.8
14,1,3,33.2,14,6,7,18.2
14,1,3,23.4,14,6,8,15.5
14,1,3,52.2,14,6,9,25.2
14,1,3,8.4,14,6,10,3.9
14,1,3,16.2,14,6,11,7.3
14,1,3,3.3,14,7,8,18.8
14,1,3,19.2,14,7,9,15.6
14,1,3,18.4,14,7,10,28.1
14,1,3,16.2,14,7,11,3.8
14,1,3,18.2,14,8,9,21.9
14,1,3,3.5,14,8,10,15.2
14,1,3,24.5,14,8,11,13.9
14,1,3,5.6,14,9,10,16.6
14,1,3,10.8,14,9,11,10.2
14,1,3,5.9,14,10,11,5.2
14,1,4,64.4,14,0,2,18.8
14,1,4,21.6,14,0,3,7.7
14,1,4,10.0,14,0,5,10.7
14,1,4,20.6,14,0,6,16.2
14,1,4,19.1,14,0,7,11.9
14,1,4,17.3,14,0,8,37.5
14,1,4,26.3,14,0,9,32.1
14,1,4,45.8,14,0,10,27.0
14,1,4,15.5,14,0,11,12.1
14,1,4,29.6,14,2,3,14.0
14,1,4,15.9,14,2,5,9.9
14,1,4,7.5,14,2,6,18.0
14,1,4,23.8,14,2,7,14.3
14,1,4,18.4,14,2,8,21.3
14,1,4,17.7,14,2,9,24.2
14,1,4,41.4,14,2,10,37.1
14,1,4,6.5,14,2,11,3.6
14,1,4,5.0,14,3,5,12.2
14,1,4,137.7,14,3,6,17.3
14,1,4,92.7,14,3,7,22.8
14,1,4,109.9,14,3,8,18.8
14,1,4,74.2,14,3,9,6.5
14,1,4,28.1,14,3,10,25.6
14,1,4,5.1,14,3,11,4.2
14,1,4,22.7,14,5,6,20.2
14,1,4,18.0,14,5,7,12.8
14,1,4,20.6,14,5,8,16.6
14,1,4,32.4,14,5,9,4.0
14,1,4,24.5,14,5,10,28.8
14,1,4,20.6,14,5,11,4.8
14,1,4,41.4,14,6,7,9.4
14,1,4,23.8,14,6,8,4.6
14,1,4,8.4,14,6,9,13.1
14,1,4,35.3,14,6,10,27.4
14,1,4,34.2,14,6,11,6.9
14,1,4,27.0,14,7,8,20.6
14,1,4,22.7,14,7,9,10.3
14,1,4,16.6,14,7,10,21.7
14,1,4,53.8,14,7,11,17.0
14,1,4,14.8,14,8,9,49.8
14,1,4,31.5,14,8,10,24.1
14,1,4,7.9,14,8,11,6.8
14,1,4,37.1,14,9,10,25.2
14,1,4,7.0,14,9,11,9.8
14,1,4,22.7,14,10,11,8.1
14,1,5,9.8,14,0,2,15.9
14,1,5,6.6,14,0,3,38.6
14,1,5,16.6,14,0,4,16.2
14,1,5,23.9,14,0,6,17.3
14,1,5,6.5,14,0,7,6.0
14,1,5,14.3,14,0,8,16.6
14,1,5,9.8,14,0,9,18.8
14,1,5,18.9,14,0,10,15.2
14,1,5,14.3,14,0,11,28.0
14,1,5,7.7,14,2,3,38.2
14,1,5,3.9,14,2,4,17.0
14,1,5,11.0,14,2,6,16.6
14,1,5,8.1,14,2,7,5.5
14,1,5,56.4,14,2,8,19.8
14,1,5,31.3,14,2,9,24.6
14,1,5,7.7,14,2,10,20.6
14,1,5,18.3,14,2,11,19.2
14,1,5,12.2,14,3,4,10.8
14,1,5,4.8,14,3,6,22.7
14,1,5,6.7,14,3,7,23.8
14,1,5,10.9,14,3,8,6.7
14,1,5,4.1,14,3,9,15.5
14,1,5,4.7,14,3,10,4.7
14,1,5,10.5,14,3,11,18.8
14,1,5,8.4,14,4,6,24.5
14,1,5,5.2,14,4,7,15.4
14,1,5,6.6,14,4,8,20.2
14,1,5,3.9,14,4,9,6.4
14,1,5,4.7,14,4,10,5.2
14,1,5,12.2,14,4,11,8.7
14,1,5,17.4,14,6,7,14.6
14,1,5,12.9,14,6,8,18.8
14,1,5,18.2,14,6,9,26.0
14,1,5,6.7,14,6,10,4.0
14,1,5,13.1,14,6,11,8.4
14,1,5,3.6,14,7,8,20.6
14,1,5,7.5,14,7,9,18.0
14,1,5,3.9,14,7,10,46.5
14,1,5,24.5,14,7,11,17.0
14,1,5,9.3,14,8,9,6.3
14,1,5,3.4,14,8,10,25.6
14,1,5,22.9,14,8,11,27.5
14,1,5,8.5,14,9,10,17.3
14,1,5,10.1,14,9,11,5.5
14,1,5,16.6,14,10,11,20.4
14,1,6,17.3,14,0,2,16.6
14,1,6,14.6,14,0,3,17.7
14,1,6,16.6,14,0,4,17.3
14,1,6,22.0,14,0,5,14.0
14,1,6,5.4,14,0,7,4.0
14,1,6,5.9,14,0,8,7.1
14,1,6,12.5,14,0,9,6.3
14,1,6,7.2,14,0,10,19.5
14,1,6,19.6,14,0,11,7.2
14,1,6,12.0,14,2,3,15.5
14,1,6,29.9,14,2,4,17.0
14,1,6,22.0,14,2,5,11.6
14,1,6,3.6,14,2,7,4.2
14,1,6,5.2,14,2,8,4.1
14,1,6,7.0,14,2,9,17.0
14,1,6,8.3,14,2,10,66.6
14,1,6,4.5,14,2,11,11.6
14,1,6,6.3,14,3,4,3.5
14,1,6,62.7,14,3,5,10.0
