test_num,itteration,pinned_thread,thread1,thread2,thread1_wins,thread2_wins
14,1,8,3,9,500,500
14,1,9,3,9,500,500
14,1,10,3,9,499,501
14,1,11,3,9,501,499
14,2,0,3,9,500,500
14,2,1,3,9,498,502
14,2,2,3,9,500,500
14,2,3,3,9,500,500
14,2,4,3,9,500,500
14,2,5,3,9,501,499
14,2,6,3,9,501,499
14,2,7,3,9,508,492
14,2,8,3,9,500,500
14,2,9,3,9,501,499
14,2,10,3,9,500,500
14,2,11,3,9,500,500
14,3,0,3,9,498,502
14,3,1,3,9,500,500
14,3,2,3,9,502,498
14,3,3,3,9,500,500
14,3,4,3,9,500,500
14,3,5,3,9,500,500
14,3,6,3,9,499,501
14,3,7,3,9,501,499
14,3,8,3,9,501,499
14,3,9,3,9,500,500
14,3,10,3,9,500,500
14,3,11,3,9,500,500
14,1,0,4,10,500,500
14,1,1,4,10,500,500
14,1,2,4,10,500,500
14,1,3,4,10,500,500
14,1,4,4,10,500,500
14,1,5,4,10,499,501
14,1,6,4,10,500,500
14,1,7,4,10,500,500
14,1,8,4,10,500,500
14,1,9,4,10,500,500
14,1,10,4,10,500,500
14,1,11,4,10,500,500
14,2,0,4,10,500,500
14,2,1,4,10,500,500
14,2,2,4,10,500,500
14,2,3,4,10,500,500
14,2,4,4,10,500,500
14,2,5,4,10,500,500
14,2,6,4,10,501,499
14,2,7,4,10,500,500
14,2,8,4,10,499,501
14,2,9,4,10,496,504
14,2,10,4,10,500,500
14,2,11,4,10,499,501
14,3,0,4,10,500,500
14,3,1,4,10,501,499
14,3,2,4,10,499,501
14,3,3,4,10,501,499
14,3,4,4,10,500,500
14,3,5,4,10,499,501
14,3,6,4,10,499,501
14,3,7,4,10,499,501
14,3,8,4,10,500,500
14,3,9,4,10,500,500
14,3,10,4,10,500,500
14,3,11,4,10,499,501
14,1,0,5,11,500,500
14,1,1,5,11,500,500
14,1,2,5,11,500,500
14,1,3,5,11,500,500
14,1,4,5,11,499,501
14,1,5,5,11,500,500
14,1,6,5,11,500,500
14,1,7,5,11,501,499
14,1,8,5,11,500,500
14,1,9,5,11,499,501
14,1,10,5,11,500,500
14,1,11,5,11,500,500
14,2,0,5,11,501,499
14,2,1,5,11,501,499
14,2,2,5,11,500,500
14,2,3,5,11,499,501
14,2,4,5,11,499,501
14,2,5,5,11,500,500
14,2,6,5,11,500,500
14,2,7,5,11,501,499
14,2,8,5,11,500,500
14,2,9,5,11,500,500
14,2,10,5,11,500,500
14,2,11,5,11,500,500
14,3,0,5,11,500,500
14,3,1,5,11,499,501
14,3,2,5,11,498,502
14,3,3,5,11,501,499
14,3,4,5,11,500,500
14,3,5,5,11,500,500
14,3,6,5,11,501,499
14,3,7,5,11,502,498
14,3,8,5,11,500,500
14,3,9,5,11,499,501
14,3,10,5,11,500,500
14,3,11,5,11,500,500
15,1,0,0,6,500,500
15,1,1,0,6,500,500
15,1,2,0,6,501,499
15,1,3,0,6,500,500
15,1,4,0,6,500,500
15,1,5,0,6,499,501
15,1,6,0,6,500,500
15,1,7,0,6,499,501
15,1,8,0,6,500,500
15,1,9,0,6,500,500
15,1,10,0,6,500,500
15,1,11,0,6,500,500
15,2,0,0,6,500,500
15,2,1,0,6,500,500
15,2,2,0,6,500,500
15,2,3,0,6,497,503
15,2,4,0,6,502,498
15,2,5,0,6,500,500
15,2,6,0,6,500,500
15,2,7,0,6,500,500
15,2,8,0,6,500,500
15,2,9,0,6,500,500
15,2,10,0,6,500,500
15,2,11,0,6,500,500
15,3,0,0,6,500,500
15,3,1,0,6,500,500
15,3,2,0,6,502,498
15,3,3,0,6,500,500
15,3,4,0,6,500,500
15,3,5,0,6,500,500
15,3,6,0,6,500,500
15,3,7,0,6,500,500
15,3,8,0,6,500,500
15,3,9,0,6,500,500
15,3,10,0,6,500,500
15,3,11,0,6,500,500
15,1,0,1,7,500,500
15,1,1,1,7,500,500
15,1,2,1,7,500,500
15,1,3,1,7,501,499
15,1,4,1,7,500,500
15,1,5,1,7,501,499
15,1,6,1,7,498,502
15,1,7,1,7,499,501
15,1,8,1,7,499,501
15,1,9,1,7,498,502
15,1,10,1,7,501,499
15,1,11,1,7,500,500
15,2,0,1,7,500,500
15,2,1,1,7,500,500
15,2,2,1,7,500,500
15,2,3,1,7,504,496
15,2,4,1,7,501,499
15,2,5,1,7,500,500
15,2,6,1,7,500,500
15,2,7,1,7,500,500
15,2,8,1,7,500,500
15,2,9,1,7,504,496
15,2,10,1,7,500,500
15,2,11,1,7,501,499
15,3,0,1,7,500,500
15,3,1,1,7,500,500
15,3,2,1,7,500,500
15,3,3,1,7,500,500
15,3,4,1,7,500,500
15,3,5,1,7,496,504
15,3,6,1,7,499,501
15,3,7,1,7,500,500
15,3,8,1,7,500,500
15,3,9,1,7,500,500
15,3,10,1,7,500,500
15,3,11,1,7,503,497
15,1,0,2,8,500,500
15,1,1,2,8,499,501
15,1,2,2,8,500,500
15,1,3,2,8,500,500
15,1,4,2,8,500,500
15,1,5,2,8,498,502
15,1,6,2,8,501,499
15,1,7,2,8,500,500
15,1,8,2,8,500,500
15,1,9,2,8,500,500
15,1,10,2,8,500,500
15,1,11,2,8,500,500
15,2,0,2,8,501,499
15,2,1,2,8,500,500
15,2,2,2,8,500,500
15,2,3,2,8,500,500
15,2,4,2,8,500,500
15,2,5,2,8,500,500
15,2,6,2,8,500,500
15,2,7,2,8,499,501
15,2,8,2,8,500,500
15,2,9,2,8,499,501
15,2,10,2,8,500,500
15,2,11,2,8,500,500
15,3,0,2,8,501,499
15,3,1,2,8,501,499
15,3,2,2,8,500,500
15,3,3,2,8,501,499
15,3,4,2,8,501,499
15,3,5,2,8,499,501
15,3,6,2,8,500,500
15,3,7,2,8,500,500
15,3,8,2,8,500,500
15,3,9,2,8,499,501
15,3,10,2,8,500,500
15,3,11,2,8,500,500
15,1,0,3,9,498,502
15,1,1,3,9,500,500
15,1,2,3,9,500,500
15,1,3,3,9,500,500
15,1,4,3,9,500,500
15,1,5,3,9,499,501
15,1,6,3,9,500,500
15,1,7,3,9,494,506
15,1,8,3,9,500,500
15,1,9,3,9,500,500
15,1,10,3,9,500,500
15,1,11,3,9,500,500
15,2,0,3,9,500,500
15,2,1,3,9,500,500
15,2,2,3,9,501,499
15,2,3,3,9,500,500
15,2,4,3,9,498,502
15,2,5,3,9,499,501
15,2,6,3,9,498,502
15,2,7,3,9,501,499
15,2,8,3,9,501,499
15,2,9,3,9,500,500
15,2,10,3,9,500,500
15,2,11,3,9,500,500
15,3,0,3,9,500,500
15,3,1,3,9,500,500
15,3,2,3,9,499,501
15,3,3,3,9,500,500
15,3,4,3,9,500,500
15,3,5,3,9,499,501
15,3,6,3,9,500,500
15,3,7,3,9,501,499
15,3,8,3,9,500,500
15,3,9,3,9,499,501
15,3,10,3,9,500,500
15,3,11,3,9,500,500
15,1,0,4,10,500,500
15,1,1,4,10,499,501
15,1,2,4,10,500,500
15,1,3,4,10,501,499
15,1,4,4,10,500,500
15,1,5,4,10,500,500
15,1,6,4,10,499,501
15,1,7,4,10,500,500
15,1,8,4,10,500,500
15,1,9,4,10,500,500
15,1,10,4,10,500,500
15,1,11,4,10,500,500
15,2,0,4,10,500,500
15,2,1,4,10,501,499
15,2,2,4,10,499,501
15,2,3,4,10,500,500
15,2,4,4,10,500,500
15,2,5,4,10,503,497
15,2,6,4,10,500,500
15,2,7,4,10,500,500
15,2,8,4,10,500,500
15,2,9,4,10,500,500
15,2,10,4,10,500,500
15,2,11,4,10,500,500
15,3,0,4,10,499,501
15,3,1,4,10,495,505
15,3,2,4,10,501,499
15,3,3,4,10,506,494
15,3,4,4,10,500,500
15,3,5,4,10,500,500
15,3,6,4,10,499,501
15,3,7,4,10,500,500
15,3,8,4,10,505,495
15,3,9,4,10,501,499
15,3,10,4,10,500,500
15,3,11,4,10,500,500
15,1,0,5,11,501,499
15,1,1,5,11,500,500
15,1,2,5,11,500,500
15,1,3,5,11,499,501
15,1,4,5,11,500,500
15,1,5,5,11,500,500
15,1,6,5,11,500,500
15,1,7,5,11,500,500
15,1,8,5,11,502,498
15,1,9,5,11,500,500
15,1,10,5,11,500,500
15,1,11,5,11,500,500
15,2,0,5,11,497,503
15,2,1,5,11,500,500
15,2,2,5,11,500,500
15,2,3,5,11,501,499
15,2,4,5,11,501,499
15,2,5,5,11,500,500
15,2,6,5,11,499,501
15,2,7,5,11,499,501
15,2,8,5,11,500,500
15,2,9,5,11,500,500
15,2,10,5,11,500,500
15,2,11,5,11,500,500
15,3,0,5,11,500,500
15,3,1,5,11,500,500
15,3,2,5,11,500,500
15,3,3,5,11,500,500
15,3,4,5,11,500,500
15,3,5,5,11,500,500
15,3,6,5,11,501,499
15,3,7,5,11,499,501
15,3,8,5,11,499,501
15,3,9,5,11,499,501
15,3,10,5,11,500,500
15,3,11,5,11,500,500
34,1,0,0,6,500,500
34,1,1,0,6,499,501
34,1,2,0,6,500,500
34,1,3,0,6,499,501
34,1,4,0,6,499,501
34,1,5,0,6,500,500
34,1,6,0,6,500,500
34,1,7,0,6,500,500
34,1,8,0,6,500,500
34,1,9,0,6,500,500
34,1,10,0,6,500,500
34,1,11,0,6,501,499
34,2,0,0,6,500,500
34,2,1,0,6,500,500
34,2,2,0,6,500,500
34,2,3,0,6,500,500
34,2,4,0,6,500,500
34,2,5,0,6,500,500
34,2,6,0,6,500,500
34,2,7,0,6,499,501
34,2,8,0,6,500,500
34,2,9,0,6,514,486
34,2,10,0,6,500,500
34,2,11,0,6,499,501
34,3,0,0,6,500,500
34,3,1,0,6,500,500
34,3,2,0,6,500,500
34,3,3,0,6,499,501
34,3,4,0,6,500,500
34,3,5,0,6,499,501
34,3,6,0,6,500,500
34,3,7,0,6,500,500
34,3,8,0,6,500,500
34,3,9,0,6,500,500
34,3,10,0,6,500,500
34,3,11,0,6,500,500
34,1,0,1,7,500,500
34,1,1,1,7,500,500
34,1,2,1,7,500,500
34,1,3,1,7,500,500
34,1,4,1,7,500,500
34,1,5,1,7,500,500
34,1,6,1,7,500,500
34,1,7,1,7,500,500
34,1,8,1,7,500,500
34,1,9,1,7,500,500
34,1,10,1,7,500,500
34,1,11,1,7,499,501
34,2,0,1,7,499,501
34,2,1,1,7,500,500
34,2,2,1,7,501,499
34,2,3,1,7,500,500
34,2,4,1,7,500,500
34,2,5,1,7,500,500
34,2,6,1,7,503,497
34,2,7,1,7,500,500
34,2,8,1,7,499,501
34,2,9,1,7,501,499
34,2,10,1,7,498,502
34,2,11,1,7,500,500
34,3,0,1,7,499,501
34,3,1,1,7,500,500
34,3,2,1,7,500,500
34,3,3,1,7,510,490
34,3,4,1,7,499,501
34,3,5,1,7,500,500
34,3,6,1,7,500,500
34,3,7,1,7,500,500
34,3,8,1,7,502,498
34,3,9,1,7,502,498
34,3,10,1,7,499,501
34,3,11,1,7,502,498
34,1,0,2,8,500,500
34,1,1,2,8,500,500
34,1,2,2,8,500,500
34,1,3,2,8,503,497
34,1,4,2,8,497,503
34,1,5,2,8,498,502
34,1,6,2,8,500,500
34,1,7,2,8,506,494
34,1,8,2,8,500,500
34,1,9,2,8,501,499
34,1,10,2,8,495,505
34,1,11,2,8,497,503
34,2,0,2,8,500,500
34,2,1,2,8,501,499
34,2,2,2,8,500,500
34,2,3,2,8,500,500
34,2,4,2,8,501,499
34,2,5,2,8,499,501
34,2,6,2,8,498,502
34,2,7,2,8,500,500
34,2,8,2,8,501,499
34,2,9,2,8,502,498
34,2,10,2,8,492,508
34,2,11,2,8,503,497
34,3,0,2,8,500,500
34,3,1,2,8,500,500
34,3,2,2,8,499,501
34,3,3,2,8,504,496
34,3,4,2,8,501,499
34,3,5,2,8,500,500
34,3,6,2,8,499,501
34,3,7,2,8,500,500
34,3,8,2,8,500,500
34,3,9,2,8,498,502
34,3,10,2,8,501,499
34,3,11,2,8,505,495
34,1,0,3,9,501,499
34,1,1,3,9,501,499
34,1,2,3,9,499,501
34,1,3,3,9,500,500
34,1,4,3,9,500,500
34,1,5,3,9,497,503
34,1,6,3,9,500,500
34,1,7,3,9,502,498
34,1,8,3,9,499,501
34,1,9,3,9,501,499
34,1,10,3,9,500,500
34,1,11,3,9,498,502
34,2,0,3,9,509,491
34,2,1,3,9,499,501
34,2,2,3,9,500,500
34,2,3,3,9,500,500
34,2,4,3,9,500,500
34,2,5,3,9,500,500
34,2,6,3,9,501,499
34,2,7,3,9,500,500
34,2,8,3,9,504,496
34,2,9,3,9,500,500
34,2,10,3,9,500,500
34,2,11,3,9,500,500
34,3,0,3,9,505,495
34,3,1,3,9,501,499
34,3,2,3,9,500,500
34,3,3,3,9,501,499
34,3,4,3,9,501,499
34,3,5,3,9,500,500
34,3,6,3,9,500,500
34,3,7,3,9,489,511
34,3,8,3,9,502,498
34,3,9,3,9,500,500
34,3,10,3,9,502,498
34,3,11,3,9,509,491
34,1,0,4,10,501,499
34,1,1,4,10,503,497
34,1,2,4,10,499,501
34,1,3,4,10,500,500
34,1,4,4,10,500,500
34,1,5,4,10,500,500
34,1,6,4,10,498,502
34,1,7,4,10,499,501
34,1,8,4,10,500,500
34,1,9,4,10,502,498
34,1,10,4,10,502,498
34,1,11,4,10,501,499
34,2,0,4,10,502,498
34,2,1,4,10,499,501
34,2,2,4,10,500,500
34,2,3,4,10,503,497
34,2,4,4,10,499,501
34,2,5,4,10,504,496
34,2,6,4,10,503,497
34,2,7,4,10,507,493
34,2,8,4,10,499,501
34,2,9,4,10,501,499
34,2,10,4,10,500,500
34,2,11,4,10,501,499
34,3,0,4,10,501,499
34,3,1,4,10,496,504
34,3,2,4,10,500,500
34,3,3,4,10,502,498
34,3,4,4,10,500,500
34,3,5,4,10,497,503
34,3,6,4,10,500,500
34,3,7,4,10,499,501
34,3,8,4,10,499,501
34,3,9,4,10,498,502
34,3,10,4,10,499,501
34,3,11,4,10,499,501
34,1,0,5,11,500,500
34,1,1,5,11,501,499
34,1,2,5,11,493,507
34,1,3,5,11,501,499
34,1,4,5,11,501,499
34,1,5,5,11,500,500
34,1,6,5,11,500,500
34,1,7,5,11,499,501
34,1,8,5,11,500,500
34,1,9,5,11,500,500
34,1,10,5,11,499,501
34,1,11,5,11,500,500
34,2,0,5,11,500,500
34,2,1,5,11,500,500
34,2,2,5,11,500,500
34,2,3,5,11,500,500
34,2,4,5,11,502,498
34,2,5,5,11,501,499
34,2,6,5,11,502,498
34,2,7,5,11,500,500
34,2,8,5,11,501,499
34,2,9,5,11,500,500
34,2,10,5,11,500,500
34,2,11,5,11,500,500
34,3,0,5,11,500,500
34,3,1,5,11,500,500
34,3,2,5,11,497,503
34,3,3,5,11,499,501
34,3,4,5,11,500,500
34,3,5,5,11,500,500
34,3,6,5,11,498,502
34,3,7,5,11,499,501
34,3,8,5,11,499,501
34,3,9,5,11,501,499
34,3,10,5,11,500,500
34,3,11,5,11,500,500
