test_id,seed_thread,worker_thread,latency
14,10,4,84903.4
14,11,4,117747.9
14,0,5,123607.9
14,1,5,78921.7
14,2,5,61963.9
14,3,5,85157.3
14,4,5,66187.9
14,5,5,1183.8
14,6,5,54216.9
14,7,5,58836.7
14,8,5,124376.5
14,9,5,80907.0
14,10,5,86681.8
14,11,5,53786.7
14,0,6,150901.5
14,1,6,132428.0
14,2,6,149367.9
14,3,6,158170.0
14,4,6,151927.4
14,5,6,61709.8
14,6,6,1191.9
14,7,6,140580.7
14,8,6,122448.5
14,9,6,106991.0
14,10,6,86019.0
14,11,6,134715.4
14,0,7,121692.3
14,1,7,81474.5
14,2,7,131038.4
14,3,7,150035.0
14,4,7,150845.9
14,5,7,118643.9
14,6,7,67809.0
14,7,7,1187.9
14,8,7,137465.6
14,9,7,153731.7
14,10,7,152590.3
14,11,7,136572.5
14,0,8,148607.4
14,1,8,131785.2
14,2,8,57125.0
14,3,8,63542.9
14,4,8,108270.4
14,5,8,56151.7
14,6,8,62305.9
14,7,8,143270.0
14,8,8,1222.9
14,9,8,113529.3
14,10,8,62473.4
14,11,8,88752.7
14,0,9,70625.4
14,1,9,78614.0
14,2,9,74901.8
14,3,9,56381.6
14,4,9,61383.9
14,5,9,73395.2
14,6,9,64160.1
14,7,9,70580.4
14,8,9,62712.7
14,9,9,1334.3
14,10,9,60016.2
14,11,9,57150.4
14,0,10,69737.2
14,1,10,60512.1
14,2,10,75830.3
14,3,10,68566.6
14,4,10,72153.1
14,5,10,75599.4
14,6,10,69554.4
14,7,10,100884.1
14,8,10,88601.6
14,9,10,111258.5
14,10,10,1225.7
14,11,10,137397.7
14,0,11,71309.1
14,1,11,78676.0
14,2,11,105337.8
14,3,11,110643.3
14,4,11,99812.4
14,5,11,91028.9
14,6,11,80173.9
14,7,11,94811.3
14,8,11,148857.7
14,9,11,83723.3
14,10,11,61756.5
14,11,11,1236.4
15,0,0,1251.7
15,1,0,114791.9
15,2,0,74709.5
15,3,0,116446.2
15,4,0,73589.2
15,5,0,70470.2
15,6,0,110640.4
15,7,0,139666.3
15,8,0,101521.6
15,9,0,76351.7
15,10,0,77758.6
15,11,0,63455.9
15,0,1,56190.0
15,1,1,1201.8
15,2,1,71665.6
15,3,1,147045.9
15,4,1,87007.2
15,5,1,67711.1
15,6,1,150665.1
15,7,1,58723.4
15,8,1,150435.7
15,9,1,151674.6
15,10,1,161667.5
15,11,1,126430.9
15,0,2,150008.7
15,1,2,56863.2
15,2,2,1198.3
15,3,2,71292.7
15,4,2,152583.7
15,5,2,63801.9
15,6,2,56909.1
15,7,2,152063.8
15,8,2,56723.1
15,9,2,150358.5
15,10,2,113275.9
15,11,2,64947.0
15,0,3,84582.2
15,1,3,64768.3
15,2,3,94717.1
15,3,3,1429.2
15,4,3,103176.4
15,5,3,51352.4
15,6,3,108765.7
15,7,3,130971.9
15,8,3,79710.4
15,9,3,52133.9
15,10,3,55159.7
15,11,3,56125.0
15,0,4,55179.8
15,1,4,101083.6
15,2,4,100582.5
15,3,4,107492.5
15,4,4,1195.9
15,5,4,119693.5
15,6,4,58210.0
15,7,4,76155.5
15,8,4,78109.3
15,9,4,54493.6
15,10,4,55206.6
15,11,4,53003.3
15,0,5,81192.2
15,1,5,62325.9
15,2,5,132630.3
15,3,5,126549.8
15,4,5,66405.9
15,5,5,1396.8
15,6,5,70958.0
15,7,5,88369.4
15,8,5,79654.2
15,9,5,153839.3
15,10,5,151036.5
15,11,5,58439.9
15,0,6,78111.8
15,1,6,53589.2
15,2,6,156098.0
15,3,6,152530.1
15,4,6,114751.1
15,5,6,68121.4
15,6,6,1203.7
15,7,6,67451.3
15,8,6,65440.8
15,9,6,63591.7
15,10,6,62512.2
15,11,6,59612.6
15,0,7,58192.5
15,1,7,57745.7
15,2,7,154957.4
15,3,7,157873.3
15,4,7,107626.7
15,5,7,156302.2
15,6,7,152108.6
15,7,7,1197.9
15,8,7,135323.5
15,9,7,128300.4
15,10,7,153160.5
15,11,7,156972.7
15,0,8,142879.2
15,1,8,56549.2
15,2,8,72125.6
15,3,8,61543.0
15,4,8,80823.5
15,5,8,149239.2
15,6,8,158369.0
15,7,8,121354.8
15,8,8,1196.8
15,9,8,103918.3
15,10,8,160022.5
15,11,8,62284.7
15,0,9,74238.8
15,1,9,87992.6
15,2,9,72239.2
15,3,9,60827.9
15,4,9,71426.4
15,5,9,75443.5
15,6,9,69795.6
15,7,9,74439.2
15,8,9,68125.5
15,9,9,1762.5
15,10,9,69338.8
15,11,9,62207.7
15,0,10,59969.4
15,1,10,98521.5
15,2,10,60884.2
15,3,10,115040.6
15,4,10,71619.6
15,5,10,72842.7
15,6,10,85017.3
15,7,10,110115.4
15,8,10,93791.5
15,9,10,90806.0
15,10,10,1226.6
15,11,10,77947.2
15,0,11,85655.1
15,1,11,71310.6
15,2,11,58878.7
15,3,11,56222.3
15,4,11,70974.1
15,5,11,67468.0
15,6,11,55180.9
15,7,11,81868.4
15,8,11,86193.9
15,9,11,152212.2
15,10,11,118242.1
15,11,11,1219.5
34,0,0,1161.3
34,1,0,85813.0
34,2,0,140813.2
34,3,0,102147.3
34,4,0,84907.3
34,5,0,79929.0
34,6,0,80208.1
34,7,0,134278.3
34,8,0,139002.1
34,9,0,102174.4
34,10,0,72617.9
34,11,0,60632.8
34,0,1,66380.0
34,1,1,1185.5
34,2,1,61399.7
34,3,1,83608.8
34,4,1,72344.4
34,5,1,157154.5
34,6,1,157300.8
34,7,1,58261.5
34,8,1,98761.3
34,9,1,142878.4
34,10,1,146175.3
34,11,1,61734.1
34,0,2,57627.5
34,1,2,92216.6
34,2,2,1256.5
34,3,2,96810.9
34,4,2,86910.2
34,5,2,61312.8
34,6,2,69255.4
34,7,2,140929.8
34,8,2,144776.5
34,9,2,89168.2
34,10,2,141701.8
34,11,2,140916.6
34,0,3,62813.6
34,1,3,73002.3
34,2,3,151368.8
34,3,3,1397.5
34,4,3,121524.4
34,5,3,119459.3
34,6,3,156993.5
34,7,3,89840.1
34,8,3,140428.0
34,9,3,133578.5
34,10,3,70966.0
34,11,3,64331.8
34,0,4,62653.4
34,1,4,57276.6
34,2,4,69676.5
34,3,4,138952.2
34,4,4,1216.6
34,5,4,130948.1
34,6,4,60765.6
34,7,4,150541.0
34,8,4,64190.1
34,9,4,117652.2
34,10,4,102156.4
34,11,4,81333.8
34,0,5,75501.0
34,1,5,58231.1
34,2,5,111618.7
34,3,5,73720.2
34,4,5,52157.6
34,5,5,1182.3
34,6,5,60950.6
34,7,5,60289.5
34,8,5,56428.0
34,9,5,103715.8
34,10,5,136110.7
34,11,5,58182.0
34,0,6,52709.7
34,1,6,147436.3
34,2,6,114573.4
34,3,6,124102.3
34,4,6,104018.1
34,5,6,71962.8
34,6,6,1245.3
34,7,6,154891.5
34,8,6,129772.7
34,9,6,64070.1
34,10,6,74747.0
34,11,6,155404.0
34,0,7,146018.0
34,1,7,58393.5
34,2,7,151230.8
34,3,7,161123.9
34,4,7,157364.1
34,5,7,149423.5
34,6,7,124852.3
34,7,7,1362.7
34,8,7,114070.8
34,9,7,123893.3
34,10,7,57846.7
34,11,7,59023.5
34,0,8,58428.6
34,1,8,57031.8
34,2,8,155539.1
34,3,8,56348.8
34,4,8,145978.6
34,5,8,137800.4
34,6,8,52207.6
34,7,8,155288.4
34,8,8,1201.3
34,9,8,147524.4
34,10,8,72896.4
34,11,8,60050.6
34,0,9,153011.4
34,1,9,57956.5
34,2,9,83389.8
34,3,9,89081.8
34,4,9,54333.2
34,5,9,89339.9
34,6,9,60651.9
34,7,9,60234.4
34,8,9,56355.6
34,9,9,1180.6
34,10,9,58125.9
34,11,9,50547.6
34,0,10,62421.3
34,1,10,68961.6
34,2,10,58448.7
34,3,10,52743.2
34,4,10,54627.6
34,5,10,53718.1
34,6,10,120769.5
34,7,10,80931.0
34,8,10,79052.9
34,9,10,53640.1
34,10,10,1170.9
34,11,10,56519.9
34,0,11,57024.8
34,1,11,56230.9
34,2,11,130863.3
34,3,11,53975.7
34,4,11,54706.8
34,5,11,113213.6
34,6,11,60823.8
34,7,11,60325.1
34,8,11,55553.4
34,9,11,80887.0
34,10,11,155936.6
34,11,11,1213.3
